City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,tsarychanka,48.937,34.4786,31.12,33,0,8.69,UA,1691348328
339,mildura,-34.2,142.15,3.37,89,0,3.58,AU,1691348328
340,queenstown,-31.8976,26.8753,14.12,31,1,3.53,ZA,1691348328
341,happy valley-goose bay,53.3168,-60.3315,19.17,63,75,3.6,CA,1691348328
342,canatlan,24.5167,-104.7833,29.64,27,100,4.45,MX,1691348329
343,tuburan,6.6439,122.2736,24.05,81,31,2.43,PH,1691348329
344,tuy hoa,13.0833,109.3,28.2,67,72,4.67,VN,1691348329
345,champerico,14.3,-91.9167,35.3,67,11,5.17,GT,1691348329
346,tannum sands,-23.9504,151.3693,15.42,72,2,2.57,AU,1691348329
347,maridi,4.9158,29.4742,20.34,94,83,1.3,SS,1691348329
348,la ronge,55.1001,-105.2842,22.14,53,40,5.14,CA,1691348329
349,kokpekty,48.75,82.4,20.71,50,52,2.35,KZ,1691348329
350,balboa,2.0396,-77.2168,28.61,37,100,1.53,CO,1691348329
351,laguna,38.421,-121.4238,36.16,33,0,3.6,US,1691348132
352,walvis bay,-22.9575,14.5053,17.53,63,0,1.54,,1691348134
353,trinidad,-14.8333,-64.9,34.99,43,20,4.12,BO,1691348330
354,tanque verde,32.2517,-110.7373,39.99,23,0,4.02,US,1691348330
355,galesong,-5.3166,119.3661,23.01,71,77,3.47,ID,1691348330
356,ketchikan,55.3422,-131.6461,20.26,77,0,5.66,US,1691348330
357,el matama,16.7095,33.3565,33.12,43,7,3.08,SD,1691348330
358,new plymouth,-39.0667,174.0833,11.0,90,100,4.62,NZ,1691348330
359,conception bay south,47.4999,-52.9981,16.07,95,100,5.88,CA,1691348195
360,manningtree,51.9454,1.0611,17.75,67,10,3.58,GB,1691348331
361,puerto leguizamo,-0.1934,-74.7819,27.02,84,100,1.62,CO,1691348331
362,hauterive,46.0901,3.4459,18.42,74,66,1.68,FR,1691348331
363,motygino,58.1831,94.7592,11.64,85,99,1.2,RU,1691348331
364,thunder bay,48.4001,-89.3168,20.99,64,100,3.09,CA,1691348058
